Order #,Order Date,Item Id,Item,Category,Quantity,Item Price,Item End Time,Payment Date,Payment Amount,Tracking #,Tax,Additional Fee,Shipping Price,Handling Price,Donation,Shipped Date,Seller
21189089,1/13/2019,62386489,Dungeons & Dragons Board Game,Toys/Dolls/Games > Games,1,$30.00,1/12/2019,1/21/2019,$48.67,1Z64A8560351987908	,$0.00,$0.00,$15.68,$2.99,$0.00,1/23/2019,Goodwill Industries Sacramento Valley
21199167,1/14/2019,62467147,Android NetRunner The Card Game,Toys/Dolls/Games > Games,1,$8.99,1/14/2019,1/23/2019,$19.23,464243365348	,$0.00,$0.00,$7.25,$2.99,$0.00,1/28/2019,"Goodwill Industries of Central North Carolina, Inc."
21227935,1/16/2019,62511350,Android Netrunner The Card Game Quorum-Sealed,Toys/Dolls/Games,1,$4.99,1/14/2019,1/22/2019,$14.47,480341148200	,$0.00,$0.00,$6.23,$3.25,$0.00,1/30/2019,Goodwill of Orange County
21326728,1/27/2019,62932295,Talisman The Magical Quest Board Game 4th Edition,Toys/Dolls/Games > Games,1,$28.00,1/25/2019,1/31/2019,$38.25,480341162247	,$0.00,$0.00,$7.00,$3.25,$0.00,2/6/2019,Goodwill of Orange County
21541160,2/18/2019,63801328,R. Talsorian Cyberpunk: Land of the Free Game,Toys/Dolls/Games > Games,1,$13.00,2/17/2019,2/18/2019,$22.83,466857223002	,$0.00,$0.00,$6.34,$3.49,$0.00,2/21/2019,Goodwill of Silicon Valley
22127546,4/16/2019,66390706,Android Netrunner Data Pack Kala Ghoda Sealed,Collectibles > Sports Cards/Trading Cards,1,$7.99,4/15/2019,4/16/2019,$17.00,477764620283	,$0.00,$0.00,$7.01,$2.00,$0.00,4/22/2019,Goodwill of Greater Washington D.C.
22264878,4/29/2019,66660002,GRAB LOT #28 SET OF 3 DUNGEONS & DRAGONS BOOKS,Books > Fiction,1,$28.88,4/23/2019,5/1/2019,$42.37,495897895280	,$0.00,$0.00,$10.49,$3.00,$0.00,5/2/2019,Goodwill Keystone Area - Reading
22534597,5/25/2019,68271344,Rare Dungeons & Dragons Icons Colossal Red Dragon,Collectibles,1,$277.00,5/23/2019,5/31/2019,$288.83,479614328579	,$0.00,$0.00,$7.83,$4.00,$0.00,6/3/2019,Goodwill Industries of Southern NJ & Philadelphia
22703984,6/11/2019,69591364,Dungeons & Dragons Miniature Game Starter Kit,Toys/Dolls/Games > Games,1,$48.00,6/11/2019,6/14/2019,$65.00,9405510898317037682334	,$0.00,$0.00,$13.10,$3.00,$0.00,6/20/2019,Goodwill of Central Iowa
28170770,11/1/2020,106903100,(7) Dungeons & Dragons Official Guides,Books > Fiction > Fantasy,1,$51.00,10/31/2020,11/1/2020,$70.74,1Z64A8560351399295	,$0.00,$0.00,$16.75,$2.99,$0.00,11/6/2020,Goodwill Industries Sacramento Valley
28227302,11/5/2020,107256092,Vintage TSR Dawn Patrol RPG WW 1 Air Combat,Toys/Dolls/Games > Games,1,$23.11,11/4/2020,11/5/2020,$32.19,398634172107	,$0.00,$0.00,$7.58,$1.50,$0.00,11/6/2020,Goodwill Industries of Greater Cleveland & East Central Ohio
28227323,11/5/2020,107185736,"Dungeons & Dragons Core Rulebooks I,II,III",Books > Collections/Sets,1,$101.00,11/4/2020,11/5/2020,$113.58,920381932432	,$0.00,$0.00,$10.58,$2.00,$0.00,11/11/2020,Marion Goodwill Industries
28265978,11/8/2020,107417440,Dungeons & Dragons Dark Sun Creature Catalog 2010,Toys/Dolls/Games > Games,1,$19.00,11/8/2020,11/8/2020,$31.24,398811395667	,$0.00,$0.00,$8.24,$4.00,$0.00,11/11/2020,Evergreen Goodwill
28306639,11/11/2020,107836161,Dungeons Dragons the Mines of Bloodstone,Books,1,$40.00,11/11/2020,11/11/2020,$56.56,398850361574	,$0.00,$0.00,$13.56,$3.00,$0.00,11/12/2020,Goodwill Industries of Greater New York and Northern New Jersey
28880501,12/26/2020,111400021,Advanced Dungeons & Dragons 2nd Edition Game 1994,Bulk > Toys/Dolls/Games,1,$76.00,12/26/2020,12/26/2020,$86.77,932039400310	,$0.00,$0.00,$8.77,$2.00,$0.00,12/30/2020,Easterseals-Goodwill Northern Rocky Mountain -SLC
28880573,12/26/2020,111130601,Advanced Dungeons & Dragons Raven Loft Books-IOB,Books,1,$216.00,12/26/2020,12/27/2020,$226.52,782034945876	,$0.00,$0.00,$6.52,$4.00,$0.00,12/29/2020,Evergreen Goodwill
59420068,12/22/2025,250729531,"HeroScape Road to the Forgotten Forest Expansion Set- Bridge, Guard & More",Toys/Dolls/Games > Games,1,$76.00,12/22/2025,12/22/2025,$87.46,887400457542	,$0.00,$0.00,$9.46,$2.00,$0.00,12/24/2025,Goodwill Industries of the Columbia Willamette
59426441,12/22/2025,250689245,"16+ Lbs. Of Loose Unsorted Mixed Diecast Vehicles - Hot Wheels, Matchbox, More",Toys/Dolls/Games > Toys > Cars & Trucks,1,$23.00,12/22/2025,12/22/2025,$37.33,887386739897	,$0.00,$0.00,$12.33,$2.00,$0.00,12/23/2025,Goodwill Industries of the Columbia Willamette
59426474,12/22/2025,250691991,"Four Factory Sealed LEGO Sets - Batman, Botanicals, Super Mario, Snake",Toys/Dolls/Games > Toys > LEGO,1,$41.08,12/22/2025,12/22/2025,$52.98,887400512480	,$0.00,$0.00,$9.90,$2.00,$0.00,12/24/2025,Goodwill Industries of the Columbia Willamette
59432634,12/23/2025,250436807,Hunt A Killer The Moon Summit Murder Mystery Box Game Episodes 1-6,Toys/Dolls/Games > Games,1,$24.99,12/23/2025,12/23/2025,$25.00,887429646127	,$0.00,$0.00,$0.01,$0.00,$0.00,12/26/2025,Goodwill Industries of the Columbia Willamette
59453715,12/24/2025,250614260,Magic: The Gathering Arena of the Planeswalkers and Starter Kit Bundle,Toys/Dolls/Games > Games,1,$21.00,12/23/2025,12/24/2025,$33.80,397137369756	,$0.00,$0.00,$8.80,$4.00,$0.00,12/24/2025,Goodwill Industries of Lane & South Coast Counties
59469129,12/24/2025,250585251,The Wizard of Oz Collector's Edition 50th Anniversary Doll Set,Toys/Dolls/Games > Dolls > Vintage,1,$21.00,12/24/2025,12/24/2025,$66.35,397168070496	,$0.00,$0.00,$11.10,$8.00,$0.00,12/26/2025,Goodwill Industries of Lane & South Coast Counties
59469129,12/24/2025,250700058,LEGO City Sets & Assorted Minifigures Bundle,Toys/Dolls/Games > Toys > LEGO,1,$26.25,12/24/2025,12/24/2025,$66.35,397168070496	,$0.00,$0.00,$11.10,$8.00,$0.00,12/26/2025,Goodwill Industries of Lane & South Coast Counties
59469157,12/24/2025,250931072,"LEGO Minifigures: Minecraft. LOTR, Star Wars & More",Toys/Dolls/Games > Toys > LEGO,1,$37.12,12/24/2025,12/24/2025,$94.53,887452344113	,$0.00,$0.00,$11.43,$6.00,$0.00,12/28/2025,Goodwill Industries of the Columbia Willamette
59469157,12/24/2025,250950563,Assorted Mixed Brand Die Cast Toy Cars Lot- 6.37 Lbs,Toys/Dolls/Games > Toys > Cars & Trucks,1,$19.99,12/24/2025,12/24/2025,$94.53,887452344113	,$0.00,$0.00,$11.43,$6.00,$0.00,12/28/2025,Goodwill Industries of the Columbia Willamette
59469157,12/24/2025,250955473,"(2) Vintage 1974 Hot Wheel Diecast Cars - Red Torino Stocker, Large Charge",Toys/Dolls/Games > Toys > Cars & Trucks,1,$19.99,12/24/2025,12/24/2025,$94.53,887452344113	,$0.00,$0.00,$11.43,$6.00,$0.00,12/28/2025,Goodwill Industries of the Columbia Willamette
59469188,12/24/2025,250639063,Pokemon Pikachu Smart Watch NIB,Toys/Dolls/Games > Toys,1,$9.99,12/24/2025,12/24/2025,$36.04,441366686542	,$0.00,$0.00,$10.06,$6.00,$0.00,12/27/2025,Goodwill Industries of the Inland Northwest
59469188,12/24/2025,250730523,Marvel D.A.G.G.E.R. Board Game - Defense Alliance for Global and Galactic Emerge,Toys/Dolls/Games > Games,1,$9.99,12/24/2025,12/24/2025,$36.04,441366686542	,$0.00,$0.00,$10.06,$6.00,$0.00,12/27/2025,Goodwill Industries of the Inland Northwest
59475340,12/25/2025,250593307,"LEGO Sets Bundle - Star Wars, City, DREAMZzz",Toys/Dolls/Games > Toys > LEGO,1,$49.99,12/24/2025,12/25/2025,$50.00,497675131905	,$0.00,$0.00,$0.01,$0.00,$0.00,12/29/2025,Goodwill of the Olympics and Rainier Region
59483623,12/25/2025,251005208,Vintage 1969 Hot Wheels 'Swinging Wing' Diecast Vehicle,Toys/Dolls/Games > Toys > Cars & Trucks,1,$36.00,12/25/2025,12/25/2025,$142.06,887454447964	,$0.00,$0.00,$12.08,$8.00,$0.00,12/28/2025,Goodwill Industries of the Columbia Willamette
59483623,12/25/2025,251005273,"Vintage 1968 Hot Wheel ""Splittin' Image""",Toys/Dolls/Games > Toys > Cars & Trucks,1,$19.99,12/25/2025,12/25/2025,$142.06,887454447964	,$0.00,$0.00,$12.08,$8.00,$0.00,12/28/2025,Goodwill Industries of the Columbia Willamette
59483623,12/25/2025,251007284,LEGO Building Set Bionicle Cendox V1 8992 - Factory Sealed,Toys/Dolls/Games > Toys > LEGO,1,$46.00,12/25/2025,12/25/2025,$142.06,887454447964	,$0.00,$0.00,$12.08,$8.00,$0.00,12/28/2025,Goodwill Industries of the Columbia Willamette
